scenario,description,verified_fy2024_industry_units,verified_source,fy2025_growth_assumption_pct,tam_units,tam_revenue_inr_crore,geographic_concentration_pct,segment_concentration_pct,sam_units,sam_revenue_inr_crore,attainable_share_pct,som_units,som_revenue_inr_crore,avg_price_per_unit_inr,data_classification_tam,data_classification_sam,data_classification_som,methodology_version
Conservative Case,"Slower adoption: policy delays, subsidy uncertainty",944000,Ola Electric Mobility Limited RHP (August 2024) - SEBI statutory filing,10.0,1038400,12460.8,60.0,70.0,436128,5233.5,1.5,6541,78.5,120000,OBSERVED (FY24) + ASSUMPTION (growth),ASSUMPTION,ASSUMPTION,v1.0 - 2026-09-24
Base Case,Moderate growth; PM E-DRIVE scheme operational,944000,Ola Electric Mobility Limited RHP (August 2024) - SEBI statutory filing,25.0,1180000,14687.0,70.0,80.0,660800,8224.7,3.0,19824,246.7,124466,OBSERVED (FY24) + ASSUMPTION (growth),ASSUMPTION,ASSUMPTION,v1.0 - 2026-09-24
Upside Case,"Strong adoption: PM E-DRIVE full deployment, grid expansion",944000,Ola Electric Mobility Limited RHP (August 2024) - SEBI statutory filing,45.0,1368800,17794.4,80.0,85.0,930784,12100.2,5.0,46539,605.0,130000,OBSERVED (FY24) + ASSUMPTION (growth),ASSUMPTION,ASSUMPTION,v1.0 - 2026-09-24
