fiscal_year,calendar_year_end,industry_e2w_registrations,data_classification,source,source_document,source_url,source_section,accessed_date,provenance_status,coverage,notes
FY2021,2021,41000,observed,Ola Electric Mobility Limited — SEBI Red Herring Prospectus 2024,Ola Electric Mobility Limited RHP (August 2024),https://www.sebi.gov.in/filings/,Industry Overview section — CRISIL Market Research Report cited in RHP,2026-09-24,verified_primary_source,India national e2W total,Rounded to nearest 1000 as stated in RHP; fiscal year ending March 2021
FY2022,2022,249000,observed,Ola Electric Mobility Limited — SEBI Red Herring Prospectus 2024,Ola Electric Mobility Limited RHP (August 2024),https://www.sebi.gov.in/filings/,Industry Overview section — CRISIL Market Research Report cited in RHP,2026-09-24,verified_primary_source,India national e2W total,Rounded to nearest 1000; fiscal year ending March 2022
FY2023,2023,728000,observed,Ola Electric Mobility Limited — SEBI Red Herring Prospectus 2024,Ola Electric Mobility Limited RHP (August 2024),https://www.sebi.gov.in/filings/,Industry Overview section — CRISIL Market Research Report cited in RHP,2026-09-24,verified_primary_source,India national e2W total,Rounded to nearest 1000; fiscal year ending March 2023
FY2024,2024,944000,observed,Ola Electric Mobility Limited — SEBI Red Herring Prospectus 2024,Ola Electric Mobility Limited RHP (August 2024),https://www.sebi.gov.in/filings/,Industry Overview section — CRISIL Market Research Report cited in RHP,2026-09-24,verified_primary_source,India national e2W total,Rounded to nearest 1000; fiscal year ending March 2024
